Provincia,Canton,Parroquia,Latitud,Longitud,Nombre,Direccion,Modalidad,Jornada Laboral,DocentesFemenino,DocentesMasculino,TotalDocentes,TotalAdministrativos,EstudiantesFemenino,EstudiantesMasculino,Total_Alumnos
Loja_Province,ESPINDOLA,ELAIRO,-4,471945949890,COLEGIO DE BACHILLERATO  2 DE AGOSTO,   BARRIO LA HUACA,FiscalHighSchool,Costa,Presencial,Matutina,7,3,10,2,63
Loja_Province,LOJA,GUALEL,-3,770003862500,COLEGIO DE BACHILLERATO  AGUSTIN CURIPOMA,   PARROQUIA GUALEL,FiscalHighSchool,Sierra,Presencial,Matutina,2,6,8,2,52
Loja_Province,OLMEDO,LATINGUE,-3,910695867130,COLEGIO DE BACHILLERATO  LA TINGUE,   PARROQUIA LA TINGUE,FiscalHighSchool,Costa,Presencial,Matutina,5,3,8,2,44
Loja_Province,QUILANGA,SANANTONIODELASARADAS,-4,364194784370,COLEGIO DE BACHILLERATO  LIC  MIGUEL ANTOLIANO SALINAS JARAMILLO,   PROLONGACION DE LA ESCALINATA DEL PARQUE CENTRAL,FiscalHighSchool,Costa,Presencial,Matutina,6,4,10,4,40
Loja_Province,LOJA,SANSEBASTIAN,-4,3418747970,COLEGIO DE BACHILLERATO  PIO JARAMILLO ALVARADO,BOLIVAR 1479 CATACOCHA Y LOURDES ,FiscalHighSchool,Sierra,Presencial,Matutina,Vespertina,Nocturno,47,20,67
Loja_Province,QUILANGA,QUILANGA,-4,294694892540,COLEGIO DE BACHILLERATO  QUILANGA,   BARRIO SANN ROQUE,FiscalHighSchool,Costa,Presencial,Matutina,10,12,22,5,165
Loja_Province,CELICA,CELICA,-4,104940523070,COLEGIO DE BACHILLERATO 12 DE DICIEMBRE,CALLE COLON VIA A GUACHAMA 300 CALLE LOJA ,FiscalHighSchool,Costa,Presencial,Matutina,Nocturno,8,13,21,6
Loja_Province,CALVAS,ELLUCERO,-4,400078925150,COLEGIO DE BACHILLERATO 14 DE OCTUBRE,   AVENIDA ESPINDOLA  PARROQUIA EL LUCERO,FiscalHighSchool,Costa,Presencial,Matutina,3,7,10,5,89
Loja_Province,SOZORANGA,SOZORANGA,-4,327111640320,COLEGIO DE BACHILLERATO 18 DE NOVIEMBRE,   BARRIO SAN VICENTE,FiscalHighSchool,Costa,Presencial,Matutina,Nocturno,13,11,24,5
Loja_Province,LOJA,SANSEBASTIAN,-4,14502600020,COLEGIO DE BACHILLERATO 27 DE FEBRERO,PABLO PALACIO 21-51 JHON F  KENNEDY ,FiscalHighSchool,Sierra,Presencial,Matutina,Vespertina,50,27,77,9
Loja_Province,GONZANAMA,PURUNUMA(EGUIGUREN),-4,210332743210,COLEGIO DE BACHILLERATO 30 DE SEPTIEMBRE,   TRECE DE SEPTIEMBRE,FiscalHighSchool,Costa,Presencial,Matutina,5,5,10,2,34
Loja_Province,CATAMAYO,SANPEDRODELABENDITA,-3,944030198130,COLEGIO DE BACHILLERATO 8 DE DICIEMBRE,   LOCALIDAD SAN PEDRO DE LA BENDITA,FiscalHighSchool,Sierra,Presencial,Matutina,13,8,21,2,161
Loja_Province,LOJA,SANTIAGO,-3,790059873590,COLEGIO DE BACHILLERATO ABDON CALDERON MU�OZ,   AVENIDA AMADEO AGUIRRE,FiscalHighSchool,Sierra,Presencial,Matutina,5,4,9,2,62
Loja_Province,LOJA,SUCRE,-3,993026503360,COLEGIO DE BACHILLERATO ADOLFO VALAREZO,CARLOS ROMAN HINOSTROZA  ADOLFO VALAREZO Y  MANUEL CARRION PINZANO ,FiscalHighSchool,Sierra,Presencial,Matutina,Vespertina,54,22,76,8
Loja_Province,GONZANAMA,GONZANAMA,-4,229190570490,COLEGIO DE BACHILLERATO BALBINA MORENO,24 DE MAYO  CALLE BOLIVAR ,FiscomitionalHighSchool,Costa,Presencial,Matutina,7,7,14,2,106
Loja_Province,LOJA,ELSAGRARIO,-3,996337201380,COLEGIO DE BACHILLERATO BEATRIZ CUEVA DE AYORA,ORILLAS DEL ZAMORA 07-90 10 DE AGOSTO ,FiscalHighSchool,Sierra,Presencial,Matutina,Vespertina,86,34,120,10
Loja_Province,PUYANGO,MERCADILLO,-4,23968316620,COLEGIO DE BACHILLERATO CARLOS GARBAY MONTESDEOCA,   PARROQUIA MERCADILLO - VIA SAN JOSE,FiscalHighSchool,Costa,Presencial,Matutina,3,8,11,3,72
Loja_Province,CHAGUARPAMBA,CHAGUARPAMBA,-3,847751497550,COLEGIO DE BACHILLERATO CHAGUARPAMBA,   BARRIO LA UNION,FiscalHighSchool,Costa,Presencial,Matutina,7,9,16,6,134
Loja_Province,CELICA,CELICA,-4,152612045580,COLEGIO DE BACHILLERATO COMUNA DOMINGUILLO,   BARRIO LAS PAMPAS,FiscalHighSchool,Costa,Presencial,Matutina,2,6,8,0,22
Loja_Province,LOJA,SUCRE,-4,8082475480,COLEGIO DE BACHILLERATO DOCTOR BENJAMIN CARRION,AV. PIO JARAMILLO  CUBA ,FiscalHighSchool,Sierra,Presencial,Nocturno,7,5,12,4,83
Loja_Province,LOJA,CHANTACO,-3,880363687020,COLEGIO DE BACHILLERATO DR  EDUARDO MORA MORENO,   CHANTACO CENTRO  CERCA  DEL  RET�N POLICIAL,FiscalHighSchool,Sierra,Presencial,Matutina,6,3,9,2,91
Loja_Province,LOJA,QUINARA,-4,317864375730,COLEGIO DE BACHILLERATO DR BALTAZAR AGUIRRE,   A DOS CUADRAS DEL PARQUE CENTRAL,FiscalHighSchool,Sierra,Presencial,Matutina,3,6,9,2,92
Loja_Province,PINDAL,12DEDICIEMBRE,-4,71115152600,COLEGIO DE BACHILLERATO DR CLOTARIO PAZ PALADINES,   PARROQUIA   12  DE  DICIEMBRE,FiscalHighSchool,Costa,Presencial,Matutina,6,3,9,2,48
Loja_Province,ESPINDOLA,SANTATERESITA,-4,502110000230,COLEGIO DE BACHILLERATO DR HUGO GUILLERMO GONZALEZ,   VIA PRINCIPAL CARIAMNAGA JUNTO A LA URNA  DEL DIVINO NI�O,FiscalHighSchool,Costa,Presencial,Matutina,5,4,9,2,29
Loja_Province,CHAGUARPAMBA,BUENAVISTA,-3,891726687890,COLEGIO DE BACHILLERATO DR JUAN FRANCISCO ONTANEDA,   BARRIO BUENAVISTA CENTRO,FiscalHighSchool,Costa,Presencial,Matutina,5,5,10,4,71
Loja_Province,SOZORANGA,TACAMOROS,-4,395250149910,COLEGIO DE BACHILLERATO DR MANUEL AGUSTIN AGUIRRE,   BARRIO LAS DELICIAS,FiscalHighSchool,Costa,Presencial,Matutina,2,6,8,2,48
Loja_Province,SOZORANGA,TACAMOROS,-4,421946453410,COLEGIO DE BACHILLERATO DR ZOILO RODRIGUEZ,   PARROQUIA TACAMOROS UBICADO   A DIEZ KILOMETROS DE FRONTERA,FiscalHighSchool,Costa,Presencial,Matutina,5,7,12,5,50
Loja_Province,ESPINDOLA,27DEABRIL,-4,441865282430,COLEGIO DE BACHILLERATO ECUADOR,   VIA PRINCIPAL CARIAMANGA-AMALUZA DESVIA EN EL SITIO LAS LIMAS 3 KM,FiscalHighSchool,Costa,Presencial,Matutina,3,8,11,4,97
Loja_Province,CALVAS,COLAISACA,-4,318748669630,COLEGIO DE BACHILLERATO EDMUNDO CEVALLOS AGUIRRE,   LOCALIDAD COLAISACA,FiscalHighSchool,Costa,Presencial,Matutina,1,7,8,6,25
Loja_Province,LOJA,ELCISNE,-3,849497969920,COLEGIO DE BACHILLERATO EL CISNE,   VIA A GUALEL BARRIO LA CONCHA EL CISNE,FiscalHighSchool,Sierra,Presencial,Matutina,3,5,8,3,48
Loja_Province,PUYANGO,ELLIMO(MARIANADEJESUS),-3,986552654520,COLEGIO DE BACHILLERATO EL LIMO,   KM   11/2 VIA A MANGAHURCO MARGEN DERECHO PARROQUIA EL LIMO,FiscalHighSchool,Costa,Presencial,Matutina,10,2,12,4,73
Loja_Province,CATAMAYO,ELTAMBO,-4,144447994380,COLEGIO DE BACHILLERATO EMILIANO ABENDA�O GONZALEZ,   Barrio La Merced Alta,FiscalHighSchool,Costa,Presencial,Matutina,3,5,8,3,50
Loja_Province,CATAMAYO,CATAMAYO,-3,985779994200,COLEGIO DE BACHILLERATO EMILIANO ORTEGA ESPINOZA,DIEZ Y OCHO DE AGOSTO  OLMEDO Y EUGENIO ESPEJO ,FiscalHighSchool,Sierra,Presencial,Matutina,33,20,53,8,645
Loja_Province,ESPINDOLA,ELINGENIO,-4,410831334180,COLEGIO DE BACHILLERATO FISCOMISIONAL  GABRIEL GARCIA MORENO,   A 200M DE LA VIA AMALUZA PASANDO LA VIA PRINCIPAL A MANO IZQUIERDA,FiscomitionalHighSchool,Costa,Presencial,Matutina,7,8,15,3,108
Loja_Province,LOJA,VALLE,-3,987918158240,COLEGIO DE BACHILLERATO FISCOMISIONAL DANIEL ALVAREZ BURNEO,AV DANIEL ALVAREZ 12-51 AV ORILLAS DEL ZAMORA ,FiscomitionalHighSchool,Sierra,Presencial,Matutina,85,75,160,31,1.629
Loja_Province,CATAMAYO,CATAMAYO,-3,985747544220,COLEGIO DE BACHILLERATO FISCOMISIONAL NUESTRA SE�ORA DEL ROSARIO,9 DE OCTUBRE  EUGENIO ESPEJO ,FiscomitionalHighSchool,Sierra,Presencial,Matutina,41,18,59,4,676
Loja_Province,ZAPOTILLO,PALETILLAS,-4,163887930520,COLEGIO DE BACHILLERATO GALO ROLANDO VELEZ RIVERA,   PARROQUIA PALETILLAS,FiscalHighSchool,Costa,Presencial,Matutina,7,5,12,2,102
Loja_Province,LOJA,TAQUIL(MIGUELRIOFRIO),-3,893275868640,COLEGIO DE BACHILLERATO GUILLERMO HERRERA SANCHEZ,   CENTRO TAQUIL,FiscalHighSchool,Sierra,Presencial,Matutina,3,4,7,2,40
Loja_Province,LOJA,SUCRE,-3,983691623330,COLEGIO DE BACHILLERATO HERNAN GALLARDO MOSCOSO,AV ISIDRO AYORA  BARQUISIMETO ,FiscalHighSchool,Sierra,Presencial,Matutina,5,6,11,3,96
Loja_Province,GONZANAMA,SACAPALCA,-4,153556472590,COLEGIO DE BACHILLERATO JOSE FELIX DE VALDIVIESO,   TRAS LA ESCUELA CALIXTO CUEVA SANCHEZ,FiscalHighSchool,Costa,Presencial,Matutina,5,2,7,3,77
Loja_Province,SOZORANGA,NUEVAFATIMA,-4,267579819490,COLEGIO DE BACHILLERATO JOSE MARIA RIOFRIO Y VALDIVIEZO,   POBLACION DE LA PARROQUIA,FiscalHighSchool,Costa,Presencial,Matutina,2,6,8,2,47
Loja_Province,PUYANGO,ALAMOR,-4,18385217620,COLEGIO DE BACHILLERATO JULIO ISAAC ESPINOZA OCHOA,CALLE SIMON BOLIVAR ENTRE SUCRE Y JUAN MONTALVO  CALLE SUCHE  Y  RIO AMAZONAS ,FiscalHighSchool,Costa,Presencial,Matutina,Nocturno,19,8,27,4
Loja_Province,MACARA,LAVICTORIA,-4,436721960950,COLEGIO DE BACHILLERATO LA VICTORIA,   Localidad La victoria,FiscalHighSchool,Costa,Presencial,Matutina,4,6,10,3,42
Loja_Province,PUYANGO,ALAMOR,-4,9143133140,COLEGIO DE BACHILLERATO LAUTARO VICENTE LOAYZA,   COMUNIDAD DE NARANJAL A 200 METROS ANTES DEL CASERIO,FiscalHighSchool,Costa,Presencial,Matutina,2,6,8,3,27
Loja_Province,LOJA,JIMBILLA,-3,859999833490,COLEGIO DE BACHILLERATO LIBERTADOR BOLIVAR,   CENTRO PARROQUIA CERCA DEL SUBCENTRO DE SALUD,FiscalHighSchool,Sierra,Presencial,Matutina,6,2,8,2,42
Loja_Province,LOJA,SANSEBASTIAN,-4,30026386360,COLEGIO DE BACHILLERATO LICEO DE LOJA PARTICULAR,NO HAY  NO HAY ,LaicHighSchool,Sierra,Presencial,Matutina,24,16,40,27,255
Loja_Province,MACARA,GENERALELOYALFARO(SANSEBASTIAN),-4,371474135700,COLEGIO DE BACHILLERATO MACARA,AV PANAMERICANA NORTE 01-03 VIA CARIAMANGA ,FiscalHighSchool,Costa,Presencial,Matutina,Nocturno,34,22,56,8
Loja_Province,ZAPOTILLO,CAZADEROS(CAB.ENMANGAURCO),-4,155613744900,COLEGIO DE BACHILLERATO MANGAHURCO,   RECINTO MANGAHURCO,FiscalHighSchool,Costa,Presencial,Matutina,3,6,9,3,30
Loja_Province,LOJA,YANGANA(ARSENIOCASTILLO),-4,363137934710,COLEGIO DE BACHILLERATO MANUEL BENJAMIN CARRION,   CENTRO DE YANGANA,FiscalHighSchool,Sierra,Presencial,Matutina,8,6,14,3,91
Loja_Province,PUYANGO,VICENTINO,-3,962670273450,COLEGIO DE BACHILLERATO MANUEL CARRION PINZANO,   ANGEL LIMA ENTRE MANUEL RAMIREZ Y MIGUEL CALLE,FiscalHighSchool,Costa,Presencial,Matutina,6,5,11,3,62
Loja_Province,LOJA,ELSAGRARIO,-3,991479379610,COLEGIO DE BACHILLERATO MANUEL ENRIQUE RENGEL,AV. UNIVERSITARIA  JUAN DE SALINAS ENTRE  DIECIOCHO DE NOVIEMBRE Y AVENIDA UNIVERSIARIA ,FiscalHighSchool,Sierra,Presencial,Nocturno,8,5,13,3,70
Loja_Province,PUYANGO,CIANO,-3,945805345540,COLEGIO DE BACHILLERATO MARCOS OCHOA MU�OZ,   UBICADO EN EL BARRIO LAS COCHAS PARROQUIA CIANO,FiscalHighSchool,Costa,Presencial,Matutina,0,7,7,2,68
Loja_Province,CHAGUARPAMBA,SANTARUFINA,-3,851082572380,COLEGIO DE BACHILLERATO MATILDE HIDALGO DE PROCEL,   ACCESO POR EL PUENTE DEL R�O PINDO,FiscalHighSchool,Costa,Presencial,Matutina,4,4,8,3,54
Loja_Province,CATAMAYO,ELTAMBO,-4,71662614330,COLEGIO DE BACHILLERATO MONS LEONIDAS PROA�O VILLALBA,   PARROQUIA EL TAMBO,FiscalHighSchool,Costa,Presencial,Matutina,8,7,15,4,89
Loja_Province,LOJA,VALLE,-3,994387517180,COLEGIO DE BACHILLERATO PARTICULAR  ANTONIO PE�A CELI,BARRIO COLINAS DE BELEN  COLINAS DE BELEN ,ReligiousHighSchool,Sierra,Presencial,Matutina,13,8,21,12,141
Loja_Province,LOJA,ELSAGRARIO,-3,996074172200,COLEGIO DE BACHILLERATO PARTICULAR CORDILLERA,BERNARDO VALDIVIESO 06-34 JOS� ANTONIO EGUIGUREN ,LaicHighSchool,Sierra,Presencial,Matutina,23,8,31,8,128
Loja_Province,LOJA,SUCRE,-3,980536,COLEGIO DE BACHILLERATO PARTICULAR DR JOSE MARIA VIVAR CASTRO,BELEN BAJO  CHARITI Y PROLONGACION DE LA BUENA VENTURA ,LaicHighSchool,Sierra,Presencial,Matutina,3,2,5,3,15
Loja_Province,LOJA,VALLE,-3,957447938720,COLEGIO DE BACHILLERATO PARTICULAR EUGENIO ESPEJO,AV. SALVADOR BUSTAMANTE CELI 00 S/N ,LaicHighSchool,Sierra,Presencial,Matutina,39,11,50,27,432
Loja_Province,LOJA,VALLE,-3,973193311630,COLEGIO DE BACHILLERATO PARTICULAR IBEROAMERICANO SAN AGUST�N,AGUSTIN CARRION  AVENIDA SALVADOR BUSTAMANTE CELI ,LaicHighSchool,Sierra,Presencial,Matutina,12,6,18,5,95
Loja_Province,LOJA,VALLE,-3,981580627790,COLEGIO DE BACHILLERATO PARTICULAR MIGUEL ANGEL SUAREZ,AV SALVADOR BUSTAMANTE CELI  AV GUAYAQUIL Y PASAJE ,ReligiousHighSchool,Sierra,Presencial,Matutina,5,11,16,6,70
Loja_Province,LOJA,SUCRE,-3,980643,COLEGIO DE BACHILLERATO PARTICULAR PARA PCEI DR JOSE MARIA VIVAR CASTRO,BELEN BAJO  CALLE CHARITY 0000000 BUENA VENTURA ,LaicHighSchool,Sierra,Distancia,Matutina,3,4,7,3,45
Loja_Province,LOJA,ELSAGRARIO,-3,999989050690,COLEGIO DE BACHILLERATO PARTICULAR PCEI AMAZONAS,AVENIDA MANUEL AGUSTIN AGUIRRE 1063 ENTRE MIGUEL RIOFRIO Y AZUAY ,LaicHighSchool,Costa,Semipresencial,Matutina,Vespertina,7,2,9,9
Loja_Province,LOJA,SUCRE,-3,999861389480,COLEGIO DE BACHILLERATO PARTICULAR PCEI AMAZONAS,AV MANUEL AGUISTIN AGUIRRE 10-63 AZUAY Y MIGUEL RIOFRIO ,LaicHighSchool,Sierra,Distancia,Matutina,Vespertina,Nocturno,6,4,10
